fullVisitorId,GGOEA0CH077599,GGOEACCQ017299,GGOEADHH055999,GGOEADHH073999,GGOEADWQ015699,GGOEAFKQ020499,GGOEAFKQ020599,GGOEAHPA004110,GGOEAHPJ074410,GGOEAKDH019899,GGOEAOCB077499,GGOEAXXX0808,GGOEAXXX0810,GGOEAXXX0812,GGOEGAAX0037,GGOEGAAX0074,GGOEGAAX0081,GGOEGAAX0098,GGOEGAAX0104,GGOEGAAX0105,GGOEGAAX0106,GGOEGAAX0107,GGOEGAAX0168,GGOEGAAX0278,GGOEGAAX0280,GGOEGAAX0282,GGOEGAAX0290,GGOEGAAX0296,GGOEGAAX0299,GGOEGAAX0304,GGOEGAAX0306,GGOEGAAX0308,GGOEGAAX0309,GGOEGAAX0313,GGOEGAAX0318,GGOEGAAX0320,GGOEGAAX0323,GGOEGAAX0325,GGOEGAAX0326,GGOEGAAX0329,GGOEGAAX0330,GGOEGAAX0334,GGOEGAAX0338,GGOEGAAX0341,GGOEGAAX0342,GGOEGAAX0351,GGOEGAAX0352,GGOEGAAX0353,GGOEGAAX0356,GGOEGAAX0357,GGOEGAAX0358,GGOEGAAX0361,GGOEGAAX0364,GGOEGAAX0365,GGOEGAAX0366,GGOEGAAX0567,GGOEGAAX0568,GGOEGAAX0569,GGOEGAAX0570,GGOEGAAX0578,GGOEGAAX0579,GGOEGAAX0580,GGOEGAAX0588,GGOEGAAX0592,GGOEGAAX0593,GGOEGAAX0595,GGOEGAAX0596,GGOEGAAX0602,GGOEGAAX0604,GGOEGAAX0606,GGOEGAAX0607,GGOEGAAX0610,GGOEGAAX0617,GGOEGAAX0618,GGOEGAAX0619,GGOEGAAX0620,GGOEGAAX0622,GGOEGAAX0625,GGOEGAAX0626,GGOEGAAX0651,GGOEGAAX0655,GGOEGAAX0661,GGOEGAAX0671,GGOEGAAX0680,GGOEGAAX0682,GGOEGAAX0686,GGOEGAAX0690,GGOEGAAX0731,GGOEGAAX0733,GGOEGAAX0761,GGOEGAAX0781,GGOEGAAX0795,GGOEGBCR024399,GGOEGBFC018799,GGOEGBJC014399,GGOEGBJC019999,GGOEGBJL013999,GGOEGBMC056599,GGOEGBMJ013399,GGOEGBPB021199,GGOEGBPB082099,GGOEGBRA037499,GGOEGBRB013899,GGOEGBRJ037299,GGOEGBRJ037399,GGOEGCBB074199,GGOEGCBB074399,GGOEGCBC074299,GGOEGCBQ016499,GGOEGCKQ013199,GGOEGCMB020932,GGOEGCNB021099,GGOEGDHC015299,GGOEGDHC074099,GGOEGDHQ015399,GGOEGDHR082199,GGOEGDWR015799,GGOEGEHQ024099,GGOEGEHQ071199,GGOEGEHQ072499,GGOEGEHQ072599,GGOEGESB015099,GGOEGESB015199,GGOEGESC014099,GGOEGESQ016799,GGOEGETB023799,GGOEGEVA022399,GGOEGEVB070599,GGOEGFAQ016699,GGOEGFKA022299,GGOEGFKQ020399,GGOEGFKQ020799,GGOEGFQB013799,GGOEGFSR022099,GGOEGFYQ016599,GGOEGGCX056199,GGOEGGCX056299,GGOEGGOA017399,GGOEGHPB003410,GGOEGHPB071610,GGOEGHPJ080310,GGOEGHPL003214,GGOEGKAA019299,GGOEGKWQ060910,GGOEGKWR060810,GGOEGOAB021499,GGOEGOAB022499,GGOEGOAQ012899,GGOEGOAQ018099,GGOEGOAQ020099,GGOEGOAR013099,GGOEGOBC078699,GGOEGOBG023599,GGOEGOCB017499,GGOEGOCC077299,GGOEGOCC077999,GGOEGOCD078399,GGOEGOCL077699,GGOEGOCR078499,GGOEGODR017799,GGOEGOFH020299,GGOEGOLC013299,GGOEGOLC014299,GGOEGOXQ016399,GGOEGPJC203399,GGOEGXXX0806,GGOEWAEA083899,GGOEWCKQ085457,GGOEWEBB082699,GGOEYDHJ056099,GGOEYFKQ020699,GGOEYHPB072210,GGOEYOCR077799
5074660303190613667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19290378513735404,0.9540305179253757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846359776693659031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5613889759898044,,,,-0.13613692036260341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5705874741137472356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1344509688422546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653223981913568754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15816148935675559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0716845898585666271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1345289319183401,,,,,,,,,,,
1868979439923677894,,,,,,,,,,,,-0.17119106844754384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2015991252397584,,,,,,,,0.012460702656348941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17333505303989494,,,,,,
4193206519109888601,,,,,,,,,,,,,,,,,,,-0.05494812200407167,,,,,,,,,,,,,,,,,,,,,,,,-0.06310500883951652,,,,,-0.1679848369435279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8882654778626829762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08631851474397248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627674454679945564,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9064503463693769960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
